run_id,kernel,problem_size,block_size,sample_index,runtime_ms
run_20260428T154333Z,gemm_tiled,512,16,1,0.069632
run_20260428T154333Z,gemm_tiled,512,16,2,0.069632
run_20260428T154333Z,gemm_tiled,512,16,3,0.070656
run_20260428T154333Z,gemm_tiled,512,16,4,0.069632
run_20260428T154333Z,gemm_tiled,512,16,5,0.069632
run_20260428T154333Z,gemm_tiled,512,16,6,0.069632
run_20260428T154333Z,gemm_tiled,512,16,7,0.069632
run_20260428T154333Z,gemm_tiled,512,16,8,0.069632
run_20260428T154333Z,gemm_tiled,512,16,9,0.070656
run_20260428T154333Z,gemm_tiled,512,16,10,0.069632
run_20260428T154333Z,gemm_tiled,512,16,11,0.069632
run_20260428T154333Z,gemm_tiled,512,16,12,0.069632
run_20260428T154333Z,gemm_tiled,512,16,13,0.070656
run_20260428T154333Z,gemm_tiled,512,16,14,0.069632
